id,name_JP,name,playable,STR,END,DEX,PER,LER,WIL,MAG,CHA,SPD,***,elements,weapon,equip,domain,detail_JP,detail
warrior,戦士,warrior,1,10,10,2,0,0,3,0,0,0,,"weaponSword/6,weaponDagger/4,weaponBlunt/6,weaponAxe/6,weaponPolearm/4,weaponScythe/5,twohand/4,tactics/4,regeneration/5,shield/3,armorHeavy/3,featWarrior/2","sword,axe,blunt,polearm,scythe",warrior,"eleFire/1,eleCold/1,eleCut/1",戦士は己の肉体を武器に、立ちはだかるものを破壊し突き進みます。魔法の扱いには向いていませんが、その高い戦闘能力には目を見張るものがあります。,"Warriors use their bodies as weapons, relentlessly destroying obstacles in their path. While they may not be adept at wielding magic, their impressive combat prowess is undeniable."
thief,遺跡荒らし,thief,1,4,4,8,5,4,0,0,0,0,,"weaponSword/3,weaponDagger/4,weaponAxe/3,weaponStaff/3,weaponCrossbow/4,lockpicking/3,stealing/4,disarmTrap/4,evasion/3,twowield/5,featThief/2","sword,dagger",archer,"elePoison/1,eleDarkness/1,eleChaos/1",遺跡荒らしは、財宝を目当てに墓や遺跡から貴重品を持ち出すことで生計をたてています。彼らにはそこそこの戦闘能力と、商人と駆け引きをするために必要な才能があります。,"Thieves make their living by extracting valuable items from tombs and ruins, driven by the allure of treasure. They possess decent combat skills and a knack for negotiating with merchants."
wizard,魔法使い,wizard,1,0,0,0,4,3,8,10,0,0,,"weaponStaff/3,weaponDagger/2,reading/3,casting/5,magicDevice/3,memorization/3,controlmana/4,featWizard/2",staff,mage,"eleFire/1,eleCold/1,eleLightning/1,eleMind/1,eleMagic/1",魔法使いは、その名のとおり魔法の知識に長けています。魔法使いの生死は、魔法書の取得と管理にかかっています。,"As the name suggests, wizards are well-versed in the art of magic. Their survival hinges on obtaining and managing their spellbooks."
farmer,農民,farmer,1,5,5,2,0,8,5,0,0,0,,"weaponScythe/6,weaponPolearm/3,weaponStaff/3,regeneration/3,faith/2,farming/5,cooking/4,riding/3,featFarmer/2,featGourmet/1",scythe,warrior,"eleFire/1,eleCold/1,eleLightning/1",農民は生産を得意とする職業です。彼らは我慢強く、またある程度の身体能力を持っています。,Farmers are professionals who excel in production. They are resilient and possess a fair amount of physical ability.
archer,狩人,archer,1,6,4,8,5,2,0,0,0,0,,"weaponBow/5,weaponCrossbow/5,weaponAxe/3,weaponDagger/4,armorLight/3,evasion/4,marksman/5,anatomy/3,riding/3,featArcher/2","dagger,axe",archer,"eleLightning/1,elePoison/1,eleCut/1",狩人は遠隔攻撃のスペシャリストです。多少の打撃能力もありますが、大抵は敵の接近を許さずに倒すことができるでしょう。,"Archers are specialists in ranged attacks. They may have some melee capabilities, but they typically defeat enemies from a distance without allowing them to get close."
warmage,魔法戦士,warmage,1,6,6,2,0,0,4,7,0,0,,"weaponSword/4,weaponBlunt/4,weaponStaff/4,weaponPolearm/4,reading/3,casting/4,evasion/4,tactics/3,parasite/3,featWarrior/1,featWizard/1","sword,polearm",warrior,"eleFire/1,eleCold/1,eleNether/1,eleNerve/1",魔法戦士は戦士と魔法使いの中間的な職業で、より打撃に重点を置いています。魔法を使いこなすためにも、バランスをとり成長させることが必要でしょう。,"Warmages represent an intermediate class between warriors and mages, with a focus on melee combat. To master magic, they must strike a balance and grow in both areas."
tourist,観光客,tourist,1,0,0,0,0,0,0,0,0,0,,"swimming/3,fishing/3,travel/3,featTourist/5","dagger,blunt,staff",tourist,"eleFire/1,eleSound/1,eleChaos/1",観光客はこの世界における伝統的な職業で、予想を裏切らないほど軟弱です。,"Tourists are a traditional class in this world, and they are predictably fragile."
pianist,ピアニスト,pianist,1,4,0,2,5,6,0,2,8,0,,"weightlifting/5,music/5,throwing/4,reading/3,negotiation/3,featPianist/2","dagger,blunt,staff",pianist,"eleSound/1,eleMind/1,eleNerve/1",ピアニストは演奏を生業とする孤高の職業です。彼らは常にピアノを背負っているため、重荷に耐える能力があります。,"Pianists, the solitary professionals, make a living through their performances. Always burdened with their pianos, they have a remarkable capacity to bear heavy loads."
priest,神官,priest,1,2,2,0,2,2,10,7,2,0,,"weaponBlunt/5,weaponPolearm/3,weaponDagger/3,weaponStaff/3,faith/5,shield/4,reading/3,casting/3,armorHeavy/4,featPaladin/1,featWizard/1","blunt,staff",mage,"eleFire/1,eleLightning/1,eleHoly/1,eleMagic/1",神官は魔法の能力と供に、若干の肉弾戦への適正を持っています。彼らは信仰する神から、最大限の恩恵を受けることができるでしょう。,"Alongside their magical abilities, priests possess a certain aptitude for hand-to-hand combat. Their unwavering faith allows them to receive maximum blessings from the gods they serve."
gunner,機工兵,gunner,1,0,2,5,8,5,4,3,0,0,,"weaponGun/6,weaponBlunt/3,weaponCrossbow/3,marksman/5,disarmTrap/4,spotting/4,evasion/3,stealth/3,featArcher/1,featThief/1",blunt,gunner,"eleFire/1,eleLightning/1,eleSound/1",機工兵は銃器と爆薬の扱いに長けた近代兵器の専門家です。彼らはイエルが産み出した最新の兵器、または古代の機械の遺物を巧みに操ることができます。,"Gunners are experts in modern weaponry, skilled in handling firearms and explosives. They can adeptly operate the latest weapons produced by Yerl, as well as artifacts of ancient machinery."
inquisitor,異端審問官,inquisitor,4,7,4,4,7,0,4,0,0,0,,"weaponSword/3,weaponDagger/3,weaponGun/5,weaponCrossbow/4,faith/4,marksman/4,reading/3,casting/4,evasion/4,featInquisitor/1,featPaladin/1",sword,gunner,"eleDarkness/1,eleMind/1,eleNerve/1",異端審問官は異端や他教を排除することに情熱を燃やす聖職者です。彼らは銃器の扱いに長け、身軽な装備で機敏な立ち回りを得意とします。異端審問官は敵対者に破門を宣告し神の恩恵をはく奪することができます。,"Inquisitors are clergy passionate about rooting out heresy and other faiths. They are skilled in the use of firearms and excel in agile maneuvers with light equipment. Inquisitors can excommunicate adversaries, stripping them of divine grace."
paladin,パラディン,paladin,4,7,8,0,0,0,4,0,6,0,,"weaponSword/6,weaponBlunt/6,weaponPolearm/6,twohand/5,tactics/4,regeneration/3,casting/3,armorHeavy/4,featPaladin/2,featPaladin2/1","sword,blunt,polearm",warrior,"eleFire/1,eleLightning/1,eleHoly/1",パラディンは神に忠誠を誓う狂信的な戦士です。彼らは両手持ちの武器を振りかざし、常に戦闘の矢面に立ち味方を守ります。ジュアのパラディンは、特にその敬虔さと勇猛さで有名です。,"Paladins are zealous warriors who swear loyalty to their deity. They wield two-handed weapons and are always at the forefront of battle, protecting their allies. The paladins of Jure are particularly renowned for their devoutness and bravery."
witch,魔女,witch,5,0,0,0,5,8,4,7,4,0,,"weaponStaff/3,weaponDagger/4,throwing/4,casting/3,magicDevice/4,alchemy/5,riding/3,featWitch/1,featWizard/1",staff,mage,"eleFire/1,elePoison/1,eleChaos/1,eleMagic/1",魔女は秘伝の錬金術の知識を操り、怪しげなポーションの調合で生計を立てています。魔法の知識も豊富な魔女は、毒物を投げつけたり、呪いや魔道具を好んで用いたりと、敵に回すと非常に煩わしい相手です。彼女たちは黒猫との気ままな生活を送り、町の人々にポーションを売ったり、ほうきに乗って世界を旅しています。,"Witches manipulate the secrets of alchemy and make a living by concocting mysterious potions. They are also rich in magical knowledge, making them quite troublesome adversaries with their penchant for throwing poisons, casting curses, and using magical artifacts. They lead carefree lives with their black cats, selling potions to the townsfolk and traveling the world on their brooms."
executioner,処刑人,executioner,4,12,8,5,0,0,0,0,0,0,,"weaponSword/4,weaponAxe/7,weaponScythe/6,twohand/6,tactics/4,regeneration/3,anatomy/4,throwing/5,featExecutioner/1,featManaMeat/1","scythe,axe",warrior,"eleCold/1,eleCut/1,eleNerve/1",処刑人は国王の命により代々世襲される処刑の専門家です。彼らは滞りなく死刑を執行するために、武器と人体、そして鉄球の知識に精通しています。彼らは死を抱擁し、死の淵に立つほど自らの力を引き出すことができます。,"The executioners are hereditary experts in execution, appointed by the king through generations. They are well-versed in weapons, the human body, and the knowledge of iron balls to carry out executions smoothly. They embrace death and can harness their full power when standing on the brink of death."
swordsage,陰陽師,sword sage,4,7,6,0,0,0,5,7,0,0,,"weaponSword/5,weaponPolearm/3,weaponStaff/5,weaponCrossbow/2,tactics/5,meditation/3,reading/3,casting/4,magicDevice/4,featSwordsage/2",sword,warrior,"eleFire/1,eleCold/1,eleLightning/1,eleNether/1,eleHoly/1",陰陽師は、霊界と現世の間を行き来し、悪霊を退ける力を持った祈祷師です。彼らは呪術や占術を巧みに操り、魔力を封じ込めた霊符で武器を強化する術を学んでいます。,"Sword Sages are spiritual practitioners who traverses between the spirit world and the mortal realm, wielding the power to repel malevolent spirits. Skilled in the arts of curses and divination, they master the technique of enhancing weapons with talismans infused with spells."
predator,プレデター,predator,8,8,11,8,0,0,0,0,0,10,,"regeneration/3,tactics/3,casting/3,marksman/3,spotting/3,evasion/3",,predator,"eleFire/1,eleCold/1,eleLightning/1",,
bard,唄い手,bard,8,9,3,7,6,0,0,4,0,0,,"weaponStaff/3,weaponDagger/2,regeneration/3,tactics/3,casting/3,marksman/3,music/3",staff,warrior,"eleFire/1,eleCold/1,eleLightning/1",,
alchemist,錬金術師,alchemist,8,0,0,0,4,3,8,10,0,0,,"weaponStaff/3,weaponDagger/2,reading/3,casting/5,magicDevice/3,memorization/3,controlmana/4,featWizard/2",staff,mage,"eleFire/1,eleCold/1,eleLightning/1,eleMind/1,eleMagic/1",,
defender,防衛者,defender,8,9,3,7,6,0,0,4,0,0,,"regeneration/3,tactics/3,casting/3,marksman/3",sword,warrior,"eleFire/1,eleCold/1,eleLightning/1",,
none,なし,none,9,2,2,2,2,2,2,2,2,0,,"regeneration/3,tactics/3,casting/3,marksman/3",,warrior,"eleFire/1,eleCold/1,eleLightning/1",,
