id,name_JP,name,type,drama,idZone,group,tags,money,chance,minFame,detail_JP,detail,talkProgress_JP,talkProgress,talkComplete_JP,talkComplete
main,メインクエスト,Main Quest,QuestMain,,,,,0,0,0,あなたは長旅を経てノースティリスにたどり着いた。この新天地に何が待ち構えているかはまだわからない。当面は生活を築き維持することが目標になるだろう。,"You've traveled far to North Tyris. You have no idea what awaits you in this unfamiliar land. For now, your goal is to establish your life and persist.",,,,
home,新天地,New Home,QuestHome,,,,,0,0,0,エイシュランドから受け取った土地の権利書を呼んで、土地を獲得しよう。,Let's claim the land by reading the deed obtained from Ashland.,,,,
home1,,,,,,,,0,0,0,あなたは権利書を読み土地を手に入れた。エイシュランドに報告しよう。,You’ve claimed land with a deed of land. You are ready to report to Ashland.,,,,
home2,ミシリアの復興,Mysilia Reconstruction,,,,,,0,0,0,ミシリアは復興と存続のために盟友を必要としている。新天地の発展を進めれば、ミシリアから報せが届くかもしれない。,Mysilia needs a strong ally to reconstruct and survive. You are to proceed with working on your new land and wait for news from Mysilia.,,,,
curry,至高の味の謎,Last Spice,QuestCurry,,,,,0,0,0,気ままな傭兵ティケに、「竜と香辛料」のカレーの味の秘密を探るよう頼まれた。ドーガ遺跡の地下に何か手がかりがあるかもしれない。,Tyche asked you to uncover the secret behind the flavor of “Dragons and Spices” curry. There might be a clue hidden beneath the Doga Ruins.,,,,
curry1,,,,,,,,0,0,0,ドーガ遺跡の地下で機械工場を見つけ、工場長を破壊した。ティケに報告しよう。,You discovered a mechanical factory in the depths of the ruins and destroyed its chief. Time to report back to Tyche.,,,,
nasu,伝説の鞄の謎を追え！,Seeking the Legendary Bag!,QuestNasu,,,,,0,0,0,妖精のナナスを連れ、スペクウィングの北西にある「帰らずの森」を探索しよう。,"Accompany Nanasu and explore the “Forest of the Lost Way,” located northwest of Specwing.",,,,
nasu1,,,,,,,,0,0,0,帰らずの森の最奥でナナスのライバルのライナとポイナが待ち受けていた。生意気な妖精たちを駆除しよう。,"
At the deepest part of the forest, Nanasu’s rivals, Raina and Poina, await you. Eliminate the insolent fairies.",,,,
nasu2,,,,,,,,0,0,0,あなたはナナスが欲しがっていた不思議な鞄を見つけた。ナナスに話しかけ、鞄を渡そう。,"
You have found the mysterious bag that Nanasu desired. Speak to her and hand it over.",,,,
melilith,ホーンテッドマンション,Haunted Manor,QuestCursedManor,,,,,0,0,0,古びた洋館に住む謎の少女メリリスから「宝探し」のゲームに参加するよう頼まれた。洋館の地下深くへと潜り、隠された宝を手に入れなければならない。ただし、「持ち帰っていい宝は一つだけ」とメリリスに忠告された。,"You have been invited by Melilith, a mysterious girl living in an old mansion, to participate in a treasure hunt. You must delve deep into the basement of the mansion to find the hidden treasure. However, She has warned you that ""only one treasure may be taken back with you.""",,,,
melilith1,,,,,,,,0,0,0,古びた洋館の地下深くで「宝」を手に入れた。地上に戻りメリリスに報告しよう。,"You have obtained the ""treasure"" deep in the basement of the old mansion. Now, return to the surface and report back to Melilith.",,,,
fiama1,ホットクリムのレシピ,A recipe of hot crim,QuestCraft,,,,,0,0,0,病み上がりでまだふらふらしている様子ね。疲労によく効くホットクリムを飲むといいわ。クリムの実は採取も簡単で、色々な料理や薬の材料としても使える。作り方を教えるから私のもとにクリムの実を3つ集めて持ってきなさい。わからないことがあったらアッシュに聞いて。|クリムの実は揃ったようね。あなたの足元に水を置いた。ホットクリムの制作に必要なものはクリムの実と水と熱源。アッシュの側の焚き火で温めて作ることができるはずよ。ホットクリムが無事完成したら持ってきなさい。ご褒美をあげる。,"You still look a little dizzy. Take some hot crim to recover your fatigue. Crimberries are easy-to-spot ingredients favorably used for many meals and medicines. Gather 3 crimberries so I can teah you the recipe. Ask Ash if you need some guidance.|So you've returned. Here's a pot of water for you. The ingredients for hot crim are just the crimberries and the water. You'll also need fire source to cook it so go stand near the bonfire when you craft. Bring the hot crim to me once it's done.  ",,,うん、特に問題はないようね。疲れているみたいだから早速飲んでみたらどう？それと、これは約束のご褒美。,"Yes, looks like you've got it right. Why don't you go sit by the fire and drink it? Oh, and here's something for you."
fiama2,調教,Taming,QuestCraft,,,,,0,0,0,調教クエ,taming quest,,,complete jp,complete
trial_siege,襲撃,Siege,,,,,,0,0,0,あと#1日で襲撃。|襲撃中。,"Dear #player#, did you forget again?",,,,
nerun_gift,お近づきの印,Token of our meeting,,,,,,0,0,0,ちょっときて。,Come here.,,,,
lumiest,謎の穴,Unknown Crater,QuestLumiest,,lumiest,,,0,0,0,あなー,hole,,,,
companion,仲間を求めて,Search for Companions,QuestCompanion,ashland,,,,0,0,0,何をするにも人手がもっと必要だな。|住人を一人リクルートしよう。,,,,,
companion1,,,,ashland,,,,0,0,0,|住人を十人リクルートしよう。,,,,,
companion2,,,,ashland,,,,0,0,0,,,,,,
sharedContainer,拠点に欠かせないモノ,Essential Equipment,QuestSharedContainer,ashland,,,,0,0,0,"大切なことを君に教えておきたい。|インベントリのコンテナをミドルクリック（もしくはRキー）して手に持ち、地面を右クリックして設置しよう。

コンテナを開き、右側に表示される錠前のアイコンをクリックすることで、コンテナの権限を変更することができる。全て完了したら、エイシュランドに報告しよう。","You need to learn this to run your base. |Middle-click (or R key) to hold the container from your inventory, then right-click on the ground to place it.

Open the container, and click on the lock icon on the right side to change its permissions. Once everything is done, report back to Ashland.",,,,
sharedContainer1,,,,ashland,,,,0,0,0,,,,,,
defense,戦闘訓練,Defense Training,QuestDefense,ashland,,,,0,0,0,こんな時世だ、戦闘の訓練もしておいたほうがいいかもしれない。|拘束されたパンクを殴り殺してエイシュランドに報告しよう。,"In times like this, you might as well train for combat. | Let's beat the bound punk to death and report back to Ashland.",,,,
defense1,,,,ashland,,,,0,0,0,|遠隔武器やアイテムを駆使して拘束されたイノシシを撃破しよう。,|Defeat the bound boar by using ranged weapons and items.,,,,
defense2,,,,ashland,,,,0,0,0,|どんな敵でもいいので100体倒してエイシュランドに報告しよう。,|Kill 100 of any enemy and report back to Ashland.,,,,
defense3,,,,ashland,,,,0,0,0,,,,,,
