id,alias,type,name_JP,name,ai,talk,area,destTrait,workTag,expedition,resources,randomRange,modifiers,tax,things,elements,skill,detail_JP,detail
1,Gardening,Both,土いじり,Gardening,Farm,farm,,SpotFarm,,,"0,0,0",50,nature,60,,"fSoil/10,fRation/10",farming,,
2,Read,Hobby,読書,Reading,Research,read,,BookShelf,,,"0,0,1",50,education,120,,fEducation/20,reading,,
3,Hunt,Both,狩り,Hunting,Explore,farm,,,,Hunt,"0,0,0",50,nature,80,"_meat,600,meat_marble,150",fRation/30,weaponBow,,
4,Exercise,Hobby,運動,Exercise,,farm,,,,,"0,0,0",50,safety,40,,fElec/25,weightlifting,,
5,Instrument,Both,演奏,Instrument,,farm,,ToolMusic,,,"0,0,0",50,culture,50,,fLoyal/20,music,,
6,Cook,Both,料理,Cooking,,farm,,Cooker,,,"0,0,0",50,culture,60,"seasoning,500,dish,200",,cooking,,
7,Pray,Both,お祈り,Praying,,farm,,,,,"0,0,0",50,education,40,"1085,10","fMoral/30,fSafety/20",faith,,
8,Write,Both,執筆,Writing,,read,,ToolWrite,,,"0,0,0",50,culture,120,,fEducation/15,reading,,
9,Paint,Both,絵描き,Painting,,read,,Painter,,,"0,0,0",50,culture,60,"234,100,1084,20,milk,10",,sculpture,,
10,Walk,Hobby,散歩,Walking,,farm,,,,,"0,0,0",50,safety,30,"#mushroom,200",,travel,,
11,Bath,Hobby,風呂,Bathing,,farm,,Bath,,,"0,0,0",50,medicine,30,"water,30,869,20,_egg,100",,swimming,,
12,Clean,Both,掃除,Cleaning,Clean,farm,,,,,"0,0,0",50,medicine,20,,fMoral/10,stealing,ホームの清掃,Clean the home
13,Sing,Both,歌唱,Singing,,farm,,ToolMusicMic,,,"0,0,0",50,culture,60,,fLoyal/20,music,,
14,Lottery,Hobby,宝くじ,Lottery,,farm,,,,,"0,0,0",50,fun,140,"gachaBall,100",fMoral/-10,investing,,
15,Gacha,Hobby,ガチャ,Gacha,,farm,,Gacha,,,"0,0,0",50,fun,160,"gachaBall,100",fMoral/-10,investing,,
16,Diary,Hobby,日記,Diary,,read,,,,,"0,0,0",50,education,100,,fEducation/10,reading,,
17,History,Both,歴史,History,,read,,BookShelf,,,"0,0,0",50,education,100,"book_ancient,150",,memorization,,
18,Blog,Both,ブログ,Blog,,read,,Computer,,,"0,0,0",50,education,120,,fPromo/25,reading,,
19,Sleep,Hobby,昼寝,Sleeping,,farm,,Bed,,,"0,0,0",50,safety,80,,fLoyal/20,regeneration,,
20,Cheer,Both,応援,Cheering,,farm,,,,,"0,0,0",50,fun,100,,"fLoyal/15,fPromo/10",negotiation,,
21,Romance,Hobby,恋愛,Romance,,farm,,,,,"0,0,0",50,fun,80,"milk,20",resident_wanted/20,negotiation,,
22,SelfHarm,Both,自傷,Self-Harm,,farm,,,,,"0,0,0",50,medicine,50,"amulet_engagement,50,fail_drink,100",,anatomy,,
23,Drug,Hobby,薬,Drug,,farm,,,,,"0,0,0",50,medicine,120,"#drug,300","legal_drug/10,fMoral/-20",meditation,,
24,Wash,Both,洗濯,Washing,,farm,,SpotFish,,,"0,0,0",50,education,30,,fLoyal/20,weaving,,
25,Garbology,Both,ゴミ漁り,Garbology,,farm,,SpotGarbage,,,"0,0,0",50,safety,20,"trash1,500,trash2,500",,gathering,,
26,Dieting,Hobby,ダイエット,Dieting,,farm,,,,,"0,0,0",50,medicine,60,"catechin,500,gelatin,500",,cooking,,
27,Handcraft,Both,手芸,Handcraft,,farm,,,,,"0,0,0",50,education,80,"#souvenir,20",,handicraft,,
28,Shop,Both,ショッピング,Shopping,,farm,,,,,"0,0,0",50,fun,150,,home_discount/20,negotiation,,
29,Drink,Hobby,飲酒,Drinking,,farm,,,,,"0,0,0",50,fun,200,"#booze,500","fMoral/-10,fSafety/-10",cooking,,
30,Smoke,Hobby,喫煙,Smoking,,farm,,,,,"0,0,0",50,fun,300,,"fElec/40,fMoral/-10",meditation,高額納税,High tax
31,Nurse,Both,看病,Nursing,,farm,,Bed,,,"0,0,0",50,medicine,80,"milk,100",fMoral/20,regeneration,住人の自動蘇生,Automatic revival of residents
32,Game,Both,ゲーム,Game,,read,,TV,,,"0,0,0",50,fun,200,,nocturnal_life/20,magicDevice,,
33,Fluffy,Hobby,モフモフ,Fluffy Stroke,,farm,,PetHouse,,,"0,0,0",50,nature,180,,"fLuck/10,fMoral/10,fSafety/20",meditation,,
34,Feel,Hobby,気持ちいいこと,Personal Pleasure,,farm,,Bed,,,"0,0,0",50,nature,160,"_egg,10",fElec/20,magicDevice,,
35,Pet,Hobby,ペット,Pet,,farm,,PetHouse,,,"0,0,0",50,nature,120,,"fAdmin/10,fSafety/10",meditation,,
36,Meditate,Both,瞑想,Meditation,,farm,,Bed,,,"0,0,0",50,nature,80,,fElec/20,meditation,,
37,Antique,Hobby,骨董品,Antique,,farm,,,,,"0,0,0",50,culture,180,"#junk,100",,appraising,,
38,Farm,Work,農作業,Farming,Farm,farm,,SpotFarm,,,"0,0,0",50,nature,80,,"fSoil/10,fRation/10",farming,,
50,Pioneer,Work,開拓,Pioneer,,farm,,,,,"0,0,0",50,nature,80,,fMoral/20,farming,盟約の石の成長促進,Faster growth of the Hearth Stone
39,Research,Work,研究,Research,Research,read,,BookShelf,,,"0,0,2",50,education,150,,fTaxEvasion/20,reading,,
