id,***,num,sides,bonus
SpHolyVeil,,,,
SpHero,,,,
SpCatsEye,,,,
ActLulwyTrick,,,,
DrainBlood,,2+p/100+e/10,3+p/30,
breathe_,,1+p/80+e/20,6+p/100,e/4
ball_,,1+p/70+e/20,2+p/35,
bolt_,,1+p/120+e/20,4+p/20,
hand_,,1+p/100+e/10,3+p/50,
arrow_,,1+p/160+e/30,8+p/12,p/25
miasma_,,2+p/150,5+p/80,
SpMeteor,,1+p/150,4+e*3,
SpEarthquake,,5+p/30,10+e/3,
SpShutterHex,,1+p/160+e/30,8+p/12,p/25
SpSilence,,,,
SpHealLight,,1+p/50+e/30,5+p/40,p/30
SpHealHeavy,,2+p/40+e/25,6+p/30,p/25
SpHealCritical,,3+p/35+e/20,7+p/25,p/20
SpHeal,,4+p/30+e/15,8+p/20,p/15
SpHealEris,,5+p/25+e/10,9+p/15,p/10
SpHealOdina,,6+p/20+e/5,10+p/10,p/5
SpHealJure,,8+p/10+e,15+p/5,p
SpHOT,,1+p/125,4+p/75,
ActManaAbsorb,,1+p/20,2+e/5,
ActJureHeal,,1+p/40+e/10,5+e/6,e/10
funnel_,,,,
ActSummonGodPet,,,,
ActSummonUndeadSister,,,,
SpTeleport,,,,
SpReturn,,,,
SpEvac,,,,
