id,alias,name_JP,name,_growth,costSoil,objType,vals,tag,sort,reqHarvest,hp,_tileType,valType,_idRenderData,tiles,snowTile,colorMod,colorType,value,LV,chance,recipeKey,factory,components,defMat,matCategory,category,idRoof,detail_JP,detail
0,,ぬる,momiji,,0,resource,,,0,"gathering,1",100,None,,obj_S,105,0,0,,0,1,100,,x,leaf,grass,,obj,0,,
1,,花,flower,"Flower,200/205,0,flower,1",10,crop,19,"seed,flower",1,"gathering,1",50,Obj,,obj_S flat,202,0,0,,10,1,100,,,leaf,grass,,obj,0,,
2,,青い花,blue flower,"Flower,305,0,flower_blue,1",10,crop,18,"seed,flower",2,"gathering,1",50,Obj,,obj_S,307,0,0,,10,1,100,,,leaf,grass,,obj,0,,
3,,黄色い花,yellow flower,"Flower,215,0,flower_yellow,1",10,crop,17,"seed,flower",3,"gathering,1",50,Obj,,obj_S flat,217,0,0,,10,1,100,,,leaf,grass,,obj,0,,
4,,白い花,white flower,"Flower,210,0,flower_white,1",10,crop,16,"seed,flower",4,"gathering,1",50,Obj,,obj_S flat,212,0,0,,10,1,100,,,leaf,grass,,obj,0,,
5,,雑草,weed,"Weed,300",10,crop,14,seed,10,"gathering,1",50,Obj,,obj_S flat,302,0,0,,10,1,100,,,"grass/2,leaf/2",grass,,obj,0,,
6,kinoko,きのこ,mushroom,"Kinoko,310,0,#mushroom,1",20,crop,11,seed,11,"gathering,1",50,Obj,,obj_S flat,312,0,0,,10,1,100,,,grass,grass,,obj,0,,
7,,雑草,weed,,10,crop,14,,12,"gathering,1",100,Obj,,obj_S flat,26,0,100,,10,1,100,,,"grass/2,leaf/2",grass,,obj,0,,
8,,ラフレシア,rafflesia,"Deco,19",10,crop,60,"seed,flower",15,"gathering,1",50,Obj,,obj_S flat,19,0,0,,10,1,100,,,leaf,grass,,obj,0,,
9,,石ころ,pebble,,0,resource,,mat_name,16,"gathering,1",100,Obj,,obj_S flat,"112,113,114,115",0,100,,10,1,100,,,pebble,granite,rock,obj,0,,
10,,クリスタル,crystal,,0,resource,,mat_name,18,"mining,20",100,Obj,Material,obj_S,"106,107",0,100,,10,40,100,,factory_floor,fragment,mica,"crystal,bone",obj,0,,
11,,石,stone,,0,resource,,mat_name,19,"gathering,1",50,Obj,,obj_S flat,"108,109,110,111",0,100,,10,10,100,,factory_floor,"rock,rock,pebble",granite,rock,obj,0,,
12,,紫のマッシュルームツリー,mushroom tree,"Tree,605",5,tree,33,seed,31,"lumberjack,1",100,Tree,Material,obj_LV,607,-1,100,alt,10,1,100,,,log,oak,,obj,0,,
13,christmas,クリスマスツリー,christmas tree,"Tree,600",5,tree,55,seed,49,"lumberjack,1",100,Tree,Growth,obj_LV,602,-1,100,alt,10,1,100,,,log,fir,,obj,0,,
14,,クリム,crim,"Berry,220,320,crim,3",20,crop,10,"seed,wild",22,"gathering,1",100,Obj,Growth,obj_S,222,0,0,,10,1,100,,,"leaf,branch",grass,,obj,0,,
15,,緑のマッシュルームツリー,mushroom tree,"Tree,605",5,tree,32,seed,32,"lumberjack,1",100,Tree,Material,obj_LV,607,-1,100,alt,10,1,100,,,log,pine,,obj,0,,
16,,サボテン,cactus,"Cactus,235,335,cactus,2",30,crop,12,seed,20,"gathering,1",100,Obj,Growth,obj wheat,335,0,0,,10,1,100,,,leaf,oak,,obj,0,,
