id,filter,text_JP,text
_'s,_sys,#1の#2,#1's #2
_s,_sys,,s
_circle,_sys,●,●
_heart,_sys,♥,♥
_evolved,_sys,進化した#1,Evolved #1
_aka,_sys,#1の#2,#2 the #1
_aka2,_sys,#1#2,#1 #2
_aka3,_sys,#1#2,#1 #2
_and,_sys,#1と#2,#1 and #2
_book,_sys,「#2」という題名の#1,"#1 titled ""#2"""
_comma,_sys,、,","
_fakeblock,_sys,#1*,#1*
_lostproperty,_sys,落とし物の#1,lost #1
_jammed,_sys,故障した#1,jammed #1
_cast_confuse,,混乱しながら," in confusion"
_cast_dim,,朦朧としながら," in a daze"
_firework,_sys,#1(#2番),#1(No.#2)
_follower,_sys,#2信者の#1,"follower of #2, #1"
_qualityFurniture,_sys,#1#2,#1 #2
_limitedStock,_sys,(限定品) #1,(Limited Stock) #1
_for,_sys,#1のための#2,#2 for #1
_bed,_sys,#1の#2,#2 for #1
_halfeaten,_sys,食べかけの#1,half eaten #1
_of,_sys,#1の#2,#2 of #1
_of2,_sys,#1の#2,#1 #2
_of3,_sys,#1の#2,#2 of #1
_of4,_sys,#1#2,#2 #1
_parchment,_sys,「#2」と書かれた#1,"#1 titled ""#2"""
_period,_sys,。,.
_shared,_sys,共有#1,shared #1
_tape,_sys,"#2 No.#1 ""#3""","#2 No.#1 ""#3"""
_the,_sys,,the
_recipe,_sys,#1の#2,"#2 of ""#1"""
_unit,_sys,#1#3の#2,#3 of #2
_unit2,_sys,#1#2,#1 unit#(s)
_sealed,_sys,(未開封),(Sealed)
_factionWide,_sys,(ファクション),(Faction)
_partyWide,_sys,(パーティー),(Party)
"_deciphered ",_sys,解読済みの#1,deciphered #1
_titled,_sys,「#1」という題名の#2,"#2 titled ""#1"""
_flavor,_sys,(#1風味),(#1 flavor)
_named,_sys,「#1」と名付けられた#2,"#2 named ""#1"""
_written,_sys,「#1」と書かれた#2,"#2 labelled ""#1"""
_engraved,_sys,「#1」と刻まれた#2,"#2 engraved ""#1"""
_engravedAlt,_sys,#1と刻まれた#2,#2 engraved #1
_daggerGrave,_sys,#1の失われし#2,#1's lost #2
_detect,_sys,#1(#2),#1(#2)
_polluted,_sys,汚染された#1,polluted #1
_bullet,_sys,・,"・ "
_elehand,_sys,#1#2,#1 #2
_littleBall,_sys,#1 (#3),#1 (#3)
_monsterball,_sys,#1 Lv #2 (#3),#1 Lv #2 (#3)
_monsterball_empty,_sys,空,Empty
attack_rotten,_sys,腐った#1,rotten #1
attack_fear,_sys,恐ろしい#1,dreadful #1
attack_wet,_sys,濡れた#1,wet #1
blockName,_sys,#2(#1),#2 (#1)
she,_sys,彼女,she
her,_sys,彼女,her
hers,_sys,彼女の,her
herself,_sys,彼女の,herself
he,_sys,彼,he
him,_sys,彼,him
himself,_sys,彼の,himself
his,_sys,彼の,his
it,_sys,それ,it
its,_sys,それの,its
itself,_sys,それの,itself
liquidName,_sys,#1,#1
off,_sys,オフ,Off
on,_sys,オン,On
ones,_sys,#1の,#1's
something,_sys,何か,something
somethings,_sys,何かの,something's
someone,_sys,何か,something
someones,_sys,何かの,something's
you,_sys,あなた,you
your,_sys,あなたの,your
_bracketLeft,_sys,「,""""
_bracketRight,_sys,」,""""
_bracketLeft３,_sys,【,【
_bracketRight３,_sys,】,】
bigdaddy,_sys,Mr.Adams,Mr. Adams
_bracketTalk,_sysReplace,「,""""
_corpseFrom,_sysReplace,死体,corpse
_corpseTo,_sysReplace,肉,meat
_toneI,_sysReplace,私,
_toneYou,_sysReplace,君,
actSalesTag,act,#2に売り札をつける (#1),Put a sales tag on #2 (#1)
actRemoveSalesTag,act,#1を売るのを止める,Remove a sales tag from #1
actCollectFurniture,act,#2を徴収する (チケット#1枚),Collect #2 (#1 Ticket#(s))
actHammerFurniture,act,#1に使う,Hammer #1
actSkyJump,act,飛び降りる,Take a leap
actSetElevatorLevel,act,目的地を設定する,Set destination
actSetTeleporterID,act,IDをつける,Set ID
actRemove,act,撤去,Remove
actPaint,act,描く,Draw
actInject,act,注射する,Inject
actPutIn,act,投入する,Put in
actRotateWall,act,ブロックの向きを変更,Rotate block
actSetLight,act,光の色を変える,Change light color
actClearLight,act,光の色を元に戻す,Clear light color
actDisarm,act,罠解除,Disarm trap
actWrench,act,改造する,Upgrade
actEco,act,貼る,Stick
actBuildMode,act,建設モード,Build Mode
actCallReserve,act,呼び戻す,Recall
actShowSigns,act,全ての立札を表示する,Show signs
actHideSigns,act,全ての立札を非表示にする,Hide signs
actChangeHomeIcon,act,ホームのアイコン変更,Change Home Icon
actChangeSkyBlockHeight,act,空中ブロックの高さ変更,Change Sky Block Height
actChangeBlockHeight,act,ブロックの高さ変更,Change Block Height
actChangeFactionName,act,ファクション名の変更,Change Faction Name
actChangeFogDensity,act,霧の変更,Change Fog
actChangeMapBG,act,空の変更,Change Sky
actChangePaint,act,絵柄を選ぶ,Choose Paint
actChangeRoof,act,外観を編集する,Edit Appearance
actToggleMapRoof,act,屋根の生成 (#1),Generate Roof  (#1)
actChangeSeaColor,act,海の色変更,Change Sea Color
actChangeShadowStrength,act,影の強さ変更,Adjust Shadow Strength
actChangeHeightShadowStrength,act,高低差による暗さの変更,Adjust Height Shading
actChangeSkyColor,act,空の色変更,Change Sky Color
actChangeColor,act,色変更,Change Color
actChangeInterval,act,間隔変更,Change Interval
actChangeType,act,タイプ変更,Change Type
actChangeDelay,act,遅延変更,Change Delay
actChangeSymbol,act,絵柄変更,Change Symbol
actContainer,act,開く,Open
actTrade,act,交換,Trade
actPour,act,浴びる,Pour
ActBanishSummon,act,追放する,Banish
ActBanishSummonAll,act,全て追放する,Banish All
ActCuddle,act,撫でる,Cuddle
ActReload,act,リロード,Reload
actDress,act,着替える（基本）,Change outfit (Basic)
actDress2,act,着替える（エクストラ）,Change outfit (Extra)
actDrink,act,飲む,Drink
actDrop,act,置く,Drop
actHarvest,act,収穫,Harvest
actEquipTool,act,装備する,Equip
actExpeditionSearch,act,未知の場所を探す,Search for new locations
actExpeditionTraining,act,修行に出す,Send for training
ActExtinguishTorch,act,消す,Extinguish
ActFuel,act,燃料追加,Add fuel
actClean,act,掃除,Clean
actMilk,act,授乳する,Feed
actGive,act,プレゼントする,Gift
actHold,act,持つ,Grab
actHoldTool,act,家具として持つ,Grab as furniture
actIgnite,act,点火,Ignite
actLayerHome,act,ホームの情報,Home Summary
actLotBGM,act,音楽を変える,Change Music
actMapBoard,act,大陸の情報,Region Info
actWarhorn,act,角笛を吹く,Blow the horn
actWarhornRaid,act,角笛を吹く （襲撃の開始）,Blow the horn (Start Raid)
actEvacDefense,act,撤退の合図を送る,Signal for retreat
actCallAlly,act,援軍を呼ぶ,Call Ally
actNameZone,act,ホームの名前変更,Change Home Name
actNewZone,act,移動,Enter
actOffer,act,捧げる,Offer
actOpen,act,開ける,Open
actClose,act,閉める,Close
AI_Craft_Snowman,act,雪だるまをつくる,Make snowman
AI_Slaughter,act,屠殺する,Slaughter
AI_Shear,act,毛を刈る,Shear
AI_PracticeDummy,act,訓練する,Train
AI_Fuck,act,悪さをする,Seduce
ActDrawWater,act,水を汲む,Draw Water
ActClearWater,act,水を捨てる,Dump Water
TaskCullLife,act,命を収穫する,Harvest life
TaskChopWood,act,薪割り,Chop wood
TaskPourWater,act,水を注ぐ,Pour water
TaskDrawWater,act,水を汲む,Draw Water
TaskWaterFire,act,消火する,Extinguish
TaskWater,act,作物に水をやる,Water crops
TaskHarvestSeed,act,種を刈る,Reap seeds
ActWater,act,水をやる,Water
actInstallSeed,act,種を蒔く,Plant seed
actInstallFertilizer,act,肥料を蒔く,Fertilize
actCopyBlock,act,ブロックをコピー,Copy Block
actPick,act,しまう,Put away
actPickOne,act,拾う,Pick
actPickAll,act,全て拾う,Pick all
actPlace,act,設置,Install
actPlans,act,#1個のアクション,#1 Actions
actPolicyBoard,act,ポリシーの変更,Change Policy
actPray,act,祈る,Pray
actLeash,act,紐に繋ぐ,Leash
actUnleash,act,紐を外す,Unleash
actWhip,act,鞭打つ,Whip
actInvestigate,act,調査,Investigate
actRead,act,読む,Read
actMourn,act,追悼する,Mourn
actTakeOut,act,お持ち帰り,Take out
actReadBoard,act,依頼を見る,View Works
actReferJournal,act,ジャーナルを開く,Open Journal
actResearchBoard,act,計画書の一覧,Change Research Plans
ActRestrain,act,拘束,Restrain
TaskDisassemble,act,解体,Disassemble
TaskDisassemble_destroy,act,*破壊*,*Destroy*
TaskDisassemble_newrecipe,act,*閃きの予感*,*Inspiring*
TaskDisassemble_InsufficientSkill,,*スキル不足*,*Insufficient Skill*
TaskDisassemble_AlreadyLearned,,*習得済み*,*Already Learned*
actUnsetSpawn,act,復活地点を取り消す,Unbind
actSetSpawn,act,復活地点にする,Bind
actSetHome,act,ホームにする,Set as your Home
actAbandonHome,act,土地を放棄,Abandon Land
actUploadMap,act,公開する,Publish
actSplit,act,分割,Split
actSteal,act,盗む,Steal
ActToggleLever,act,レバーを引く,Pull lever
ActToggleOff,act,スイッチを切る,Turn off
ActToggleOn,act,スイッチを入れる,Turn on
ActTorch,act,灯す,Light
actTransfer,act,移動,Transfer
actUnequip,act,外す,Unequip
ActUnrestrain,act,拘束を解く,Unrestrain
actUpgrade,act,アップグレード,Upgrade
actUse,act,使う,Use
actWorship,act,入信する,Worship
actWrite,act,書く,Write
lotHeight,act,壁の高さ,Wall Height
AreaFarm,action,畑,Farm
AreaRoom,action,部屋,Room
AreaStockpile,action,ストックパイル,Stockpile
CreateArea,action,エリアの作成,Create Area
Copy,action,コピー,Copy
Cut,action,伐採,Cut down
Deconstruct,action,回収,Collect
Dig,action,プラットフォームを壊す,Remove Platform
DigDefault,action,プラットフォームを壊す,Remove Platform
DigFloor,action,床を取り払う,Remove Floor
DigRamp,action,地面を傾斜に変える,Dig Ramp
DigRemoveFloor,action,床を撤去,Remove Floor
EditArea,action,エリアの編集,Edit Area
ExitBuild,action,戻る,Exit
Gather,action,収集,Gather
Hunt,action,狩猟,Hunt
Inspect,action,建設,Build
instaComplete,action,ミラルの加護,Blessing of Miral
Mine,action,採掘,Mine
MineDefault,action,採掘,Mine
MineRamp,action,壁を傾斜に変える,Mine Ramp
MoveInstalled,action,設置物の移動,Move Installed Objects
Picker,action,ピッカー,Picker
RemoveDesignation,action,タスクのキャンセル,Cancel Designation
RemoveRamp,action,傾斜を撤去,Remove Ramp
PropertySearch,action,所持物検索,Property Search
Search,action,探索,Search
StateEditor,action,撤去/設置,Put away/Install
Visibility,action,可視切り替え,Visibility
tHarvest_old,backup,#2(#3)で#1,#1 using #2(#3)
clearTrack,bottomButton,トラッカーのクリア,Clear Tracker
resetConfig,bottomButton,全ての設定の初期化,Reset All Configs
resetConfigTab,bottomButton,#1設定の初期化,Reset #1 Config
resetWindow,bottomButton,ウィンドウの初期化,Reset Windows
inputRewardCode,config,特典コードの登録,Register Backer Reward Code
invalidRewardCode,config,コードは無効です: #1,Invalid Code: #1
rewardCodeActive,config,(バッカー特典有効化済み),(Backer Reward Activated)
copyRelative,build,相対的な高さ,Relative Height
autoCut,build,自動整地,Clear Ground
autoFence,build,オートフェンス,Auto Fence
autoFloor,build,床自動設置,Auto Floor
BuildAll,build,全て,All
BuildDeco,build,装飾,Decoration
BuildFurniture,build,家具,Furniture
BuildHobby,build,娯楽,Hobby
BuildInfra,build,インフラ,Infra
buildNum,build,備蓄,Stock
BuildOther,build,その他,Other
BuildWelfare,build,福祉,Welfare
BuildWork,build,仕事,Work
captionBuild,build,ビルドメニュー,Build Menu
cat_area,build,エリア,Area
cat_deco,build,装飾,Deco
cat_door,build,扉/窓,Door/Window
cat_ext,build,野外,Exterior
cat_facility,build,設備,Facility
cat_floor,build,床,Floor
cat_food,build,食品,Food
cat_foundation,build,基礎,Foundation
cat_furniture,build,家具,Furniture
cat_goods,build,雑貨,Goods
cat_junk,build,ジャンク,Junk
cat_light,build,光源,Light
cat_mech,build,機工,Mechanism
cat_mount,build,マウント,Mount
cat_obj,build,マップオブジェ,Map Obj
cat_other,build,その他,Other
cat_spot,build,ユーティリティ,Utility
cat_storage,build,収納,Storage
cat_terrain,build,地形,Terrain
cat_tool,build,ツール,Tool
cat_wall,build,壁,Wall
factories,build,設備,Factories
hintAltitude2,build,(マウスホイール) 高さ,(Mouse Wheel) Altitude
hintRotate,build,(r) 回転,(r) Rotate
hintRotate2,build,(マウス) 回転,(Mouse) Rotate
items,build,アイテム,Items
place_Block,build,ブロック,Block
place_Block_hint,build,それは床の上に設置できる。,It can be built on floors.
place_Floor,build,床,Floor
place_Floor_hint,build,それは地面に設置できる。,It can be built on grounds.
place_Obj,build,物,Object
place_Obj_hint,build,それは床の上に設置できる。,It can be built on floors.
place_Roof,build,屋根,Roof
place_Roof_hint,build,それは傾斜の上に設置できる。,It can be built on ramps.
place_WallMount,build,壁マウント,Wall Mount
place_WallMount_hint,build,それは壁に設置できる。,It can be built on walls.
place_Door,build,扉/窓,Door
place_Door_hint,build,それは壁に重ねて設置できる。,It can be built on top of walls.
replaceFloor,build,床入れ替え,Replace Floor
reqMat,build,必要素材,Required Materials
appearance,chara,身長/体重,Appearance
attackStyle,chara,武器スタイル,Weapon Style
armorStyle,chara,鎧スタイル,Armor Style
attributes,chara,主能力,Attributes
deepestLv,chara,最深到達層,Depth Reached
deepestLv2,chara,#1階相当,Lv.#1
deepestLv3,chara," (すくつ #1階)",(Void Lv.#1)
availableFeats,chara,取得可能フィート (一般),Available Feats (General)
availableFeats_attribute,chara,取得可能フィート (主能力）,Available Feats (Main Attributes)
availableFeats_skill,chara,取得可能フィート (技能),Available Feats (Skill)
availableFeats_special,chara,取得可能フィート (特殊),Available Feats (Special)
bankMoney,chara,預金,Deposit
birthday,chara,誕生日,Birth
birthText,chara,#1年 #2月 #3日,"#2/#3, #1"
cLife,chara,生命,Life
cMana,chara,マナ,Mana
contribution,chara,貢献度,Contribution
cSpeed,chara,速度,Speed
currentZone,chara,現在地,Loc
cVigor,chara,活力,Vigor
DMG,chara,ダメージ,Dmg
DV,chara,DV,DV
equipList,chara,装備品一覧,Equipped Items
equipment,chara,装備,Equipment
equipment2,chara,現在の装備一覧,List of Equipment
faction,chara,所属勢力,Faction
faith,chara,信仰,Faith
fame,chara,名声,Fame
family,chara,家族,Family
favArmor,chara,得意装備,Fav EQ
feats,chara,フィート,Feat
health,chara,生命,Health
height,,高さ,Height
heightWeight,chara,#1cm #2kg,#1cm #2kg
traitAdditive,," (加算)"," (Additive)"
traitSlot,,+#1,+#1
_quality,,品質: #1,Quality #1
_nutrition,,栄養: #1,Nutrition #1
_hardness,,硬度: #1,Hardness #1
HIT,chara,命中,Hit
hobby,chara,趣味,Hobby
homeZone,chara,ホーム,Home
genes,chara,遺伝子,Genes
innateFeats,chara,先天,Innate Feat
inventory,chara,所持品,Inventory
job,chara,クラス,Class
domain,chara,専門領域,Domains
karma,chara,カルマ,Karma
godMood,chara,神の機嫌,God Mood
land,chara,土地,Land
faction_Default,faction,よそ者,Outsider
faction_Owner,faction,所有者,Founder
faction_Member,faction,メンバー,Member
elec,faction,電力,Electricity
elecLv,faction,#2 / #1 ㎿,#2/ #1 ㎿
mw,,㎿,㎿
civility,faction,民度,Civility
soil,faction,肥沃度,Fertility
development,faction,発展度,Development
soilLv,faction,#2 <size=12>(最大 #1)</size>,#2 <size=12>(Max #1)</size>
like,chara,好物,Like
married,chara,既婚,Married
money,chara,オレン,Oren
mood,chara,ムード,Mood
myHome,chara,住まい,House
nameBio,chara,#2「#1」,"#1, #2"
noHome,chara,なし,None
notEquipped,chara,装備なし,Not Equipped
PEN,chara,貫通,Pen
perMonth,chara," / 月"," / Month"
personalSetting,chara,個人設定,Preference
totalFeat,chara,総獲得フィートポイント,Total Feat Points
profile_postEffect,config,プロフィール,Profile
profile,chara,プロフィール,Profile
PV,chara,PV,PV
relations,chara,人間関係,Relationship
rerollBio,chara,生い立ち,History
SAN,chara,狂気度,Insanity
sDV,chara,回避,Evasion
skill,chara,技能,Skill
weapon_enc,,武器,Weapon
weapons,chara,武器,Weapons
skills,chara,スキル,Skill
skillsCombat,chara,戦闘技能,Combat Skills
skillsCraft,chara,製作技能,Craft Skills
skillsGeneral,chara,一般技能,General Skills
skillsWeapon,chara,武器の専門,Weapon Masteries
sPV,chara,防御,Protection
styleDefault,chara,片手持ち,One Handed
styleShield,chara,盾持ち,Shield
styleTwoHand,chara,両手持ち,Two Handed
styleTwoWield,chara,二刀流,Dual Wield
tax,chara,税金,Tax
territory,chara,領地,Territories
trait,chara,特徴,Trait
unemployed,chara,無職,unemployed
unmarried,chara,未婚,Unmarried
weight,chara,体重,Weight
weightEQ,chara,装備重量,Eq. Weight
weightInv,chara,所持品重量,Inv. Weight
noToolPick,config,ツールを持っている時は、地面のアイテムを右クリックで持たない,Don't pick up items on the ground with right click while holding a tool
disableShake,config,一部の画面揺れエフェクトを無効化,Disable camera shake for some effects
showRefIcon,config,アイテムの効果アイコンを表示する,Show effect icon on item
markStack,config,スタックしたアイテムのアイコンの背景色を変える,Change the background color of the stacked item
smoothPick,config,採取物を自動的に拾う,Auto-pick harvested stuff
allowBlockOnItem,config,アイテムの上へのブロックの建設を許可,Allow placing blocks on items
dontCancelIfZeroDamage,config,攻撃を受けてもダメージが0の時は継続行動をキャンセルしない,Don't cancel actions in progress when attacked with 0 damage.
alwaysRun,config,キーボード移動時に常に走る,Always run when using keyboard
alwaysFixCamera,config,採取時などにカメラを固定しない,Don't fix camera position when harvesting
ignoreBackerDestoryFlag,config,破壊されたラストウィッシュ・コンテンツでも再生成する,Respawn last wish contents even when destroyed
