id,name_JP,unknown_JP,unit_JP,naming,name,unit,unknown,category,***,sort,_tileType,_idRenderData,tiles,altTiles,anime,skins,size,colorMod,colorType,recipeKey,factory,components,disassemble,defMat,tierGroup,value,LV,chance,quality,HP,weight,electricity,trait,elements,range,attackType,offense,substats,defense,lightData,idExtra,idToggleExtra,idActorEx,idSound,tag,workTag,filter,roomName_JP,roomName,detail_JP,detail
weapon_broken,朽ち果てた武器,,振り,m,decayed weapon,,,_resource,,100,,obj_S flat,800,,,,,100,,,,-,,iron,metal,100,2,0,0,100,1500,0,,,1,Slash,,,,,,,,,noWish,,,,,,
weapon_anvil,古の武器,,振り,m,ancient weapon,,,sword,,100,,obj_S EQ,1028,,,,,100,,*,anvil,"weapon_broken,ingot/2,+rune",,iron,metal,800,20,0,0,100,1500,0,,,1,Slash,"1,1",,,,,,,,noWish,,,,,,
weapon_wood,木の武器,,振り,m,wooden weapon,,,junk,,100,,obj_S EQ,1028,,,,,100,,*,factory_wood,"log/2,string,stick/2,+rune",,oak,metal,200,2,0,0,100,1500,0,,,1,Slash,"2,8,5,4",5,,,,,,,noWish,,,,,戦闘の訓練に用いられる木の武器だ。,A wooden weapon used for combat practice.
weapon_stone,石の武器,,振り,m,stone weapon,,,junk,,100,,obj_S EQ,1028,,,,,100,,*,factory_stone,"rock/2,string,stick/2,+rune",,granite,metal,350,2,0,0,100,1500,0,,,1,Slash,"2,8,5,4",5,,,,,,,noWish,,,,,少し実用的な石の武器だ。,A practical stone weapon used for combat.
dagger_hocho,包丁,,振り,m,kitchen knife,,,dagger,,100,,obj_S EQ,1001,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,2400,24,50,0,100,400,0,,"cooking/4,mod_cleave/10",1,Slash,"1,14,5,1",40,,,,,,,,,,,,主に調理に用いられる短剣だ。,A knife mainly used for cooking.
dagger_ninto,忍刀,,振り,m,wakizashi,,,dagger,,100,,obj_S EQ,911,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,500,16,1000,0,100,700,0,,mod_chaser/10,1,Slash,"4,4,6,5",20,"1,0",,,,,,,,,,,特殊な集団が用いる短剣だ。,A short sword usually worn together with a katana.
dagger_pirate,海賊刀,,振り,m,scimitar,,,dagger,,100,,obj_S EQ,907,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,500,8,1000,0,100,900,0,,mod_flurry/10,1,Slash,"3,5,7,3",15,"2,0",,,,,,,,,,,刃が湾曲した短剣だ。,A curved sword.
dagger,短剣,,振り,m,short sword,,,dagger,,100,,obj_S EQ,1026,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,500,1,1000,0,100,600,0,,mod_chaser/10,1,Slash,"2,6,9,4",15,"4,0",,,,,,,,,,,小型の剣だ。,A small double-edged weapon used for close combat.
dagger_parry,パリングダガー,,振り,m,parrying dagger,,,dagger,,100,,obj_S EQ,807,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,900,1,100,0,100,400,0,,parry/28,1,Slash,"1,6,4,1",,"8,2",,,,,,,,,,,敵の攻撃の受け流しに特化した短剣だ。,A dagger specialized in deflecting enemy attacks.
EtherDagger,エーテルダガー,風をまとった短剣,振り,,Ether Dagger,,dagger surrounded by wind,dagger,,100,,obj_S EQ,1025,,,,,100,,,,"ingot,ingot,+rune",,ether,metal,750000,50,0,4,100,500,0,,"eleEther/50,eleHoly/50,mod_chaser/100",1,Slash,"5,5,16,18",30,"4,6",,,,,,,,,,,エーテルの力を宿した短剣だ。刀身には禍々しい刻印が施されている。,"A dagger imbued with the power of ether, its blade etched with ominous engravings."
