id,uid,name_JP,name,_parent,recipeCat,slot,skill,maxStack,tileDummy,installOne,ignoreBless,tag,idThing,recycle,costSP,gift,deliver,offer,ticket,sortVal,flag
new,0,新しい物資,New Items,,goods,_void,_void,999,0,0,0,,,"material,10",3,0,0,100,1,0,0
none,1,なし,None,,goods,_void,_void,999,0,0,0,,,"material,10",3,0,0,100,1,2000,0
resource,2,資源,Resource,,goods,_void,_void,999,0,0,1,dye,log,"material,10",2,0,0,100,1,50,1
_resource,121,資源,Resource,resource,goods,_void,_void,999,0,0,1,,,"material,10",2,0,0,100,1,51,0
seed,3,種,Seed,resource,goods,_void,_void,999,0,1,1,,,"food,10",2,0,0,100,1,52,0
wood,4,木材,Wood,resource,goods,_void,_void,999,0,0,1,,,"material,10",2,0,0,100,1,53,0
stone,5,石材,Stone,resource,goods,_void,_void,999,0,0,1,,,"material,10",2,0,0,100,1,54,0
ore,6,鉱石,Ore,resource,goods,_void,_void,999,0,0,1,,,"material,10",2,100,0,100,1,55,0
textile,7,繊維,Textile,resource,goods,_void,_void,999,0,0,1,,fiber,"material,10",2,0,0,100,1,56,0
flora,8,花,Flora,resource,goods,_void,_void,999,0,0,1,,,"material,10",2,100,100,100,1,57,0
bodyparts,9,体のパーツ,Body Parts,resource,goods,_void,_void,999,0,0,1,,offal,"material,10",2,100,100,100,1,58,0
dna,131,DNA,DNA,resource,goods,_void,_void,999,0,0,1,,dna,"material,10",1,0,0,100,1,59,0
fertilizer,10,肥料,Fertilizer,resource,goods,_void,_void,999,0,1,0,,,"material,10",1,0,0,100,1,59,0
block,11,ブロック,Block,,wall,_void,_void,999,0,1,1,,,"material,10",0,0,0,100,1,70,0
_block,122,ブロック,Block,block,wall,_void,_void,999,0,1,1,,,"material,10",0,0,0,100,1,71,0
wall,12,壁,Wall,block,wall,_void,_void,999,0,1,1,,,"material,10",0,0,0,100,1,72,0
fence,13,フェンス,Fence,block,wall,_void,_void,999,0,1,1,,,"material,10",0,0,0,100,1,73,0
floor,14,床,Floor,block,floor,_void,_void,999,0,1,1,,,"material,10",0,0,0,100,1,74,0
floor_field,137,畑,Field,block,floor,_void,_void,999,0,1,1,,,"material,10",0,0,0,100,1,75,0
floor_deco,138,床装飾,Floor Decoration,block,floor,_void,_void,999,0,1,1,,,"material,10",0,0,0,100,1,76,0
foundation,15,基礎,Foundation,block,foundation,_void,_void,999,0,1,1,,,"material,10",0,0,0,100,1,77,0
obj,16,小道具,Prop,block,obj,_void,_void,999,0,1,1,,,"material,10",0,0,0,100,1,78,0
food,17,食料,Food,,food,_void,_void,999,0,0,2,,_dish_lunch,"food,10",2,100,100,100,1,100,2
meal,18,料理,Meal,food,food,_void,_void,999,0,0,2,,,"food,10",2,0,0,100,1,120,0
meal_meat,19,肉料理,Meat Meal,meal,food,_void,_void,999,0,0,2,,,"food,10",2,0,0,100,1,121,0
meal_fish,20,魚料理,Fish Meal,meal,food,_void,_void,999,0,0,2,,,"food,10",2,0,0,100,1,122,0
meal_vegi,21,野菜料理,Vegetable Meal,meal,food,_void,_void,999,0,0,2,,,"food,10",2,0,0,100,1,123,0
meal_fruit,22,果物料理,Fruit Meal,meal,food,_void,_void,999,0,0,2,,,"food,10",2,0,0,100,1,124,0
meal_cake,23,ケーキ,Cake,meal,food,_void,_void,999,0,0,2,,,"food,10",2,0,0,100,1,125,0
meal_bread,24,パン,Bread,meal,food,_void,_void,999,0,0,2,,,"food,10",2,0,0,100,1,126,0
meal_cookie,25,クッキー,Cookie,meal,food,_void,_void,999,0,0,2,,,"food,10",2,0,0,100,1,127,0
meal_noodle,26,ヌードル,Noodle,meal,food,_void,_void,999,0,0,2,,,"food,10",2,0,0,100,1,128,0
meal_egg,27,卵料理,Egg Meal,meal,food,_void,_void,999,0,0,2,,,"food,10",2,0,0,100,1,129,0
meal_rice,28,ご飯物,Rice Meal,meal,food,_void,_void,999,0,0,2,,,"food,10",2,0,0,100,1,130,0
meal_soup,29,スープ,Soup,meal,food,_void,_void,999,0,0,2,,,"food,10",2,0,0,100,1,131,0
meal_lunch,136,ランチ,Lunch,meal,food,_void,_void,999,0,0,2,,,"food,10",2,0,0,100,1,132,0
foodstuff,30,食材,Foodstuff,food,food,_void,_void,999,0,0,2,,honey,"food,10",2,0,0,100,1,140,0
