id,***,***,valid,***,***,***,lang,name,text,type,skin,gender,tree,deity,chara,loot,isStatic,done,loc,original
1962,,,0,,,,,,,0,0,0,,,,,0,0,,
4982,,,0,,,,,,,0,0,0,,,,,0,0,,
5532,,,1,,,,,Lmm,,1,4,0,,,,fail_drink,0,0,,
5637,,,0,,,,JP,,,0,0,0,,,,,0,0,,
5604,,,1,,,,JP,黒いネコ「DOSDOSDOS」,,4,0,2,,,cat,,0,0,,
2942,,,1,,,,,1ettuce,,6,0,1,,Healing,,,0,0,,
725,,,0,,,,JP,,,0,0,0,,,,,0,0,,
5539,,,0,,,,JP,,,0,0,0,,,,,0,0,,
3196,,,1,,,,JP,図書館からの来訪者「電源なの」,,6,0,1,,Oblivion,,,0,0,,
3273,,,0,,,,,,,0,0,0,,,,,0,0,,
4048,,,1,,,,,oats,,4,0,1,,,cat,,0,0,,
5697,,,0,,,,JP,,,0,0,0,,,,,0,0,,
5205,,,1,,,,JP,水晶の刃「ニヴィ」,,3,0,0,,,,,1,1,mifu,
1994,,,0,,,,,,,0,0,0,,,,,0,0,,
3552,,,0,,,,JP,,,0,0,0,,,,,0,0,,
5318,,,1,,,,JP,終われえぬ死人「削られていて読めない」,「時間が来たら起こしてくれ」,2,0,0,,,,,1,1,cursed manor,
874,,,1,,,,JP,折り重なる祈り「neigee」,,6,0,0,,Healing,,,0,0,,
5723,,,0,,,,JP,灰色のスクエア「コンニャク」,,0,0,0,,,,,0,0,,
547,,,1,,,,,子羊「部位」,,6,0,2,,Harvest,,,0,0,,
10000,,,1,,,,,"""Talgron"" The Slothful Founder","""He did very little, but pick wise advisors to administer his nation, before abdicating the throne to a more worthy ruler""",1,4,0,,,,bed,1,1,fox town,
4321,,,1,,,,JP,噛まずに言える？「おにょにょいみょこ」,,5,5,0,,,,,1,1,cursed manor,
4659,,,1,,,,JP,Happeach,「かわいい雑貨屋さん」,2,0,0,,,,,0,0,,
4810,,,0,,,,,,,0,0,0,,,,,0,0,,
2872,,,1,,,,JP,笑い兎「ピョンジル」,,4,0,2,,,rabbit,,0,0,,兎
862,,,1,,,,JP,あえぐメイジ「タマ」,,6,0,1,,Luck,,,0,0,,
1228,,,1,,,,JP,音と光クラブ,「いあ！いあ！よぐ・そとおす！」,2,0,0,,,,,0,0,,
3551,,,1,,,,JP,かつて人だったランタン「took」,「眩しすぎる…」,2,0,0,,,,,0,0,,
3587,,,0,,,,,,,1,0,0,,,,,0,0,,
4148,,,1,,,,JP,久遠なる剣帝「メタマス」,,2,0,0,,,,,0,0,,
4302,,,1,,,,JP,ワンダフル駄犬「キャロレン」,,4,0,1,,,dog,,0,0,,犬
4662,,,1,,,,JP,召喚された鮭「ドマ」,「み、水......」,1,0,0,,,,75,0,0,,"鮎,魚"
4956,,,1,,,,JP,狂いし者「mg」,,7,0,0,,,,,1,1,casino,
5448,,,1,,,,JP,不滅の犬「シャルパン」,,4,0,0,,,dog,,1,1,yowyn,
5481,,,1,,,,JP,崇拝者「ヨルクモ」,,6,0,1,,Earth,,,0,0,,
5521,,,1,,,,JP,酒菜,,6,0,1,,Earth,,,0,0,,
5636,,,1,,,,,"""Mist"" Felheim",,5,2,0,,,,,1,1,cursed manor,
5650,,,1,,,,JP,さなべえ,,6,0,2,,Oblivion,,,1,1,noyel,
5869,,,1,,,,JP,名無しの「ナイスガイ」,「犯人はヤツ」,1,2,0,,,,dagger,0,0,,ナイフ
5876,,,1,,,,,"""Zingot"" The Sneaky","""I used to be Zingot the Sneaky until I was made a little leaky, now I'm just Zingot the Corpse.""",1,3,0,,,,dagger,0,0,,Dagger
5997,,,1,,,,JP,イツキ,,6,0,0,,Harvest,,,0,0,,
47,,,1,,,,JP,エギー,,7,5,0,,,,,0,0,,
105,,,1,,,,JP,酒仙の錬金術師「マサミツ」,「夢心地 浮き世の日陰隠れいて 浮かびし影に見ゆ真理」,1,0,0,,,,crimAle,0,0,,酒
269,,,0,,,,,,,0,0,0,,,,,0,0,,
285,,,1,,,,JP,猫のようなうめき「ユキ」,次はもっと上手に・・・」,1,3,0,,,,lute,0,0,,軽い楽器
295,,,1,,,,JP,永遠なる妹「クレマ・ティオーナ」,,5,3,0,,,,,0,0,,
570,,,1,,,,JP,エセル,,7,5,0,,,,,0,0,,
615,,,1,,,,JP,寄生された兄狐「ゴン」,,4,0,0,,,twintail,,0,0,,狐
715,,,1,,,,,Aekx,"""I thought it was going to be a knife fight...""",1,0,0,,,,gun,1,1,derphy,Gun
1235,,,1,,,,JP,暗黒魔獣「ケルちゃん」,,4,0,1,,,dog,,0,0,,犬
1325,,,1,,,,JP,猫と戯れる者「カズキ」,,3,0,0,cherry,,,,0,0,,
1384,,,1,,,,JP,継がれしランタン「ウイッシュ」,「人々がその冒険の歩みを止めるとき。その最後の一歩が幸せであることを」,2,0,0,,,,,0,0,,
1456,,,1,,,,JP,伝説の勇者「ああああ」,「おお ああああ！ しんでしまうとは なにごとだ！」,1,2,0,,,,staff_long,0,0,,武器ひのき棒
1612,,,1,,,,,"""Trinity"" The Tree Hater",,3,0,0,random,,,,0,0,,
1768,,,1,,,,JP,ツインテを愛する「はぴ」,「ツインテール万歳！」,2,0,0,,,,,0,0,,
1888,,,1,,,,,"""Uika"" The dold bilocation",,5,3,0,,,,,0,0,,
2343,,,1,,,,JP,言葉なき探究者「セワート」,,2,0,0,,,,,0,0,,
2357,,,1,,,,JP,何も知らない「リミナ」,,5,0,0,,,,,0,0,,
2821,,,1,,,,JP,愛を追い求める狂人「ヒィロ」,「君がボクを拒んだのが悪いんだよ・・・」,1,3,0,,,,meatbag,0,0,,包丁と人肉
2986,,,1,,,,JP,嘲り踊る「ラビュリンス」,,5,4,0,,,,,1,1,cursed manor,
3256,,,1,,,,JP,絶対的な失墜「薫葉」,「進めば二つ、逃げれば一つ、決断は突然やってくる」,2,0,0,,,,,0,0,,
3320,,,1,,,,JP,終わらない仮面「ＱＹ」,「本当に…？」,1,0,0,,,,671,0,0,,"ふかふかパン,食品"
3482,,,1,,,,,“Flint” The Stout,,3,0,0,oak,,,,0,0,,
3567,,,1,,,,JP,氷河の狙撃手「シヴァ」,「あなたの生は輝いていますよ。いつか等しく終わりが来るもの。精一杯楽しみましょう」,2,0,0,,,,,0,0,,
3850,,,0,,,,JP,少女を追う者「キャロル」,「アリスはどこだ？」,1,2,0,,,,274,0,0,,"絵画「貴婦人」,女性の書かれた写真"
4063,,,1,,,,JP,音に願う旅人「ジュラ」,「このひと時に」,2,0,0,,,,,0,0,,
4282,,,1,,,,JP,パラサイト,,7,1,0,,,,,0,0,,
4416,,,1,,,,JP,水屋の精霊「buun」,「この先、苦難があるぞ。だから音楽が必要だ。」,1,0,0,,,,cello,1,1,windrest,楽器(コントラバス)
4436,,,1,,,,CN,柚寧,,5,0,0,,,,,0,0,,
4472,,,1,,,,,"""Rudeman"" The Unyielding Pig",,4,0,2,,,pig,,0,0,,Pig
4552,,,0,,,,JP,,,0,0,0,,,,,1,0,,
4690,,,1,,,,JP,アンデッドの至宝「エステル」,「…っ、どこをまさぐってるのよ！ 魔力が戻ったら覚えてなさいよ……！ 後悔させてやるんだから！」,1,0,0,,,,panty,0,0,,パンティー
4971,,,1,,,,JP,ミス・ユースケ,「酒はだいたい全部うまい」,2,0,0,,,,,1,1,kapul,
5089,,,1,,,,JP,ひねくれもの「ウェジー」,,4,0,1,,,dog,,0,0,,狐（犬）
5140,,,1,,,,JP,ハロウィンの夜「ルミナ」,「とりっくおあとりっく！」,2,0,0,,,,,0,0,,
5237,,,1,,,,JP,ふぇざーちゃま,,7,4,0,,,,,0,0,,
5370,,,1,,,,CN,幻想时间,「好想变成美少女啊......」,1,3,0,,,,336,0,0,,"ホルモン薬,Potion"
5506,,,1,,,,,uokun,,4,0,0,,,chicken,,0,0,,蛙（チキン）
5530,,,1,,,,JP,ホクホクの「ポテイト」,,4,0,1,,,sister,,0,0,,妹（少女、馬）
5664,,,1,,,,JP,願いのひとかけら「クリムローゼ」,「負けられないのっ！」,2,0,0,,,,,1,1,kapul,
5750,,,1,,,,JP,賢者の星屑「しむら」,「この灯りがあなたの旅路を照らしますように」,2,0,0,,,,,0,0,,
5768,,,1,,,,,"""Lucien"" The Guardian","""I can't seem to escape this place, but at least I'm not lonely. I have a friend with me.""",1,0,0,,,,helm,1,1,cursed manor,
5774,,,1,,,,,"""Eidolon"" The Ether-Cursed",,7,4,0,,,,,0,0,,
5780,,,1,,,,JP,「生ける屍おじさん（36さい）」,「死にたい。死にたい。殺してくれ。死ねたら異世界美少女転生して私TUEEEするんだ・・・」,1,3,0,,,,staff,1,1,manor,穢れた魔法少女のステッキ
5904,,,1,,,,JP,致命的な災厄「ジャム」,「この世界のエレアという種族は耳がとがっておらず、瞳や髪の色で判別されるようだ…」,1,1,0,,,,crossbow,0,0,,
91,,,1,,,,JP,知者の記憶「なぎ」,,6,0,2,,Harvest,,,0,0,,
466,,,1,,,,JP,忘れっぽい「けにー」,,6,0,2,,Oblivion,,,0,0,,
676,,,0,,,,JP,夜明けのあばずれ「アイリース」,「串刺しの骸を斜陽が照らす。明けぬ夜が無いように」,1,2,0,,,,沈まぬ陽もまた無いのである。,0,0,,
788,,,1,,,,JP,月を砕くダイヤモンド「エイラク」,「もはやこれまで･･･」,1,0,0,,,,sword,0,0,,武器
902,,,1,,,,JP,夢綴の語り部「ゆき」,「夢見語り紡ぎ謡い、ついに私は神のゆめに辿り着いた」,1,3,0,,,,altar,0,0,,祭壇
986,,,0,,,,JP,,,0,0,0,,,,,0,0,,
1027,,,1,,,,JP,呪われし竜姫「エリ」,「穢れた魂の現身、憎むべき私の生きた証。それでも答えを探すなら血河の果てまで共に往くわ」,1,3,0,,,,sword,1,1,manor,長剣（☆付き、呪い付き、竜鱗素材固定でお願いします。もし、システム的に”呪い”状態に強弱の概念があるのであれば、この長剣には必ず強固な呪いが付与されており、簡単に解除できないようお願いします）
1241,,,1,,,,JP,おぱんちゅ大天使「モモロウ」,,4,0,1,,,pig,,1,1,mysilia,豚
1961,,,1,,,,,Sky Top,"""Burn in the everlasting ambyssion!""",2,0,0,,,,,0,0,,
2182,,,1,,,,JP,兄が先か妹が先か「セロリー」,,5,2,0,,,,,0,0,,
2458,,,1,,,,JP,人生と書いて妹と読む,,3,0,0,random,,,,0,0,,
2961,,,1,,,,JP,永遠に続く精神「とっとこ」,「名前を刻むために木を傷つけることはしたくないし、冒険者として死ぬのはもっと嫌だ。私の最後の願いはただこれを灯すだけ」,2,0,0,,,,,0,0,,
3186,,,1,,,,JP,夢見る骸「骨玉」,「元々が最弱だったんだ。後は這い上がるだけだろ？」,2,0,0,,,,,0,0,,
3306,,,1,,,,,"""Nefertari"" Eclipsed Sun",,5,1,0,,,,,0,0,,
3450,,,1,,,,JP,星の血痕「ユキ」,,5,5,0,,,,,0,0,,
3633,,,1,,,,JP,夜の守り手「ミゼル」,,4,0,1,,,cat,,0,0,,仔猫
4554,,,1,,,,JP,迷犬「ハチ」,,4,0,2,,,dog,,0,0,,犬
4565,,,1,,,,JP,泣き叫ぶ妹「アテルナ」,「黄金見つけた！」,1,0,0,,,,spellbook,1,1,thives,ランダムな魔法書（可能であればさらに、杖＋オレン）
4731,,,1,,,,,"""Isabelle"" Studious Egg",,5,2,0,,,,,0,0,,
4800,,,1,,,,JP,森を拓く者「ドルやま」,「私が落とした斧は…」,1,0,0,,,,axe_hand,0,0,,斧
4947,,,1,,,,JP,淀んだ流体の妹「トーフ」,,5,2,0,,,,,0,0,,
4965,,,1,,,,JP,闇の魔女「アマフィス」,,3,0,0,random,,,,0,0,,
5053,,,1,,,,,“Lichta” Sleep in Universe,,4,0,0,,,cat,,0,0,,Any weapon as a pet or Flying cat (Cat)
5252,,,1,,,,JP,ルナタの友達「トロ」,,4,0,2,,,dog,,1,1,mysilia,犬（ヨークシャー・テリア）
5489,,,0,,,,,枢機に記録す光,,0,0,0,,,,,0,0,,
5593,,,1,,,,JP,光を求める終焉「レン」,,6,0,2,,Harvest,,,1,1,kapul,
5756,,,1,,,,JP,霧をまとう螺旋「凃際」,「小さくも重く冷ややかだ。」,1,5,0,,,,742,0,0,,"ほうき,破れた傘"
5849,,,0,,,,JP,,,0,0,0,,,,,0,0,,
5971,,,1,,,,JP,月歩きの玉兎「バニイ」,「光るよ！」,2,0,0,,,,,0,0,,
543,,,1,,,,JP,妖精型終末警備自動人形「アカネコ」,「ネジを巻いてください。」,1,3,0,,,,535,0,0,,"花,きれいな花"
1105,,,1,,,,JP,月明かりの機工兵「コスモス」,,6,0,1,,Machine,,,0,0,,
2170,,,1,,,,JP,小さな白銀「URAL」,「もっとLuckが欲しい...」,2,0,0,,,,,0,0,,
2871,,,1,,,,JP,白の「オヌー」,,4,0,2,,,putty,,0,0,,銀眼の斬殺者(プチ)
3656,,,1,,,,,“cola” The silent cat,,4,0,2,,,cat,,0,0,,cat
3848,,,1,,,,,“Pigiron” the rat king,” Rat-a-tat-tatted and all the rats scattered”,1,1,0,,,,869,0,0,,"rubber duck,“Rat tail or rabbit tail”"
4862,,,1,,,,JP,ごろごろすり寄る「アス」,,4,1,2,,,cat,,1,1,yowyn cat cafe,シルバーキャット(猫)
5292,,,1,,,,JP,破壊の悦楽「石田 アマノ」,,3,0,0,random,,,,0,0,,
5470,,,1,,,,JP,侍魂のリッジ「ヤスカ」,,3,0,0,cedar,,,,0,0,,
5765,,,1,,,,JP,酒好き「タナカ」,「今日も酒がうまい！」,1,0,0,,,,58,0,0,,"ビア,呪われた酒"
5993,,,1,,,,JP,根の上の猫「ルートン」,,4,0,2,,,cat,,0,0,,cat
182,,,1,,,,JP,死霊と眠る者「ネムイ」,「諦めないぞ！」,1,0,0,,,,dagger,0,0,,細剣
726,,,1,,,,JP,立派な尻尾の「エルヴィス」,「最高の猫には最高の灯りを」,2,0,0,,,,,1,1,olvina,
901,,,1,,,,,"""Tanaka""The Red Wizard","""Workers of Vernis unite!""",1,2,0,,,,blunt_hammer,0,0,,Hammer and sickle
5076,,,0,,,,JP,,,0,0,0,,,,,0,0,,
5160,,,1,,,,,lu,"""Happy birthday to you.You can make a wish!!!""",1,3,0,,,,rod_wish,0,0,,
1328,,,1,,,,JP,えいえんのはどう「みずか」,「・・・えいえそは、あるよ」,2,0,0,,,,,0,0,,
1339,,,1,,,,JP,叫べ幸運「片桐」,,6,0,2,,Luck,,,0,0,,
2110,,,1,,,,JP,希望のきらめき,「光より速く！」,2,0,0,,,,,0,0,,
2240,,,1,,,,JP,TweetBot「Elica」,,4,0,0,,,dog_mine,,1,1,miral,アンドロイド
4124,,,1,,,,JP,世界は二人のために,,5,0,0,,,,,1,1,cursed manor,
4151,,,1,,,,JP,寄り添う者「ルウ」,,4,0,1,,,dog,,0,0,,犬
4694,,,1,,,,JP,あえげ不運「片桐」,「これを食べれば俺にも幸運の女神様が…んぐっ！」,1,4,0,,,,kagamimochi,1,1,graveyard,米、鏡もち
336,,,1,,,,,"""Zheng"" The Dehydrated Snaily",,7,0,0,,,,,0,0,,
1253,,,0,,,,JP,,,2,0,0,,,,,1,0,,
2066,,,1,,,,JP,納屋に潜むもの「ホレウム」,,6,0,0,,Healing,,,1,1,kapul,
2968,,,1,,,,,"""Yuyi and Eva""","""Mai, if you're reading this, don't forget to do your homework!""",2,0,0,,,,,0,0,,
4223,,,1,,,,JP,トカゲアザラゴン,,3,0,0,random,,,,0,0,,
4628,,,1,,,,JP,alcoholhigh,「イルヴァに祝福を」,2,0,0,,,,,1,1,noyel,
5181,,,1,,,,JP,朝寝坊の斥候「ギノート」,「追放者が好きなんだ…」,2,0,0,,,,,0,0,,
5551,,,0,,,,JP,,,0,0,0,,,,,0,0,,
5678,,,1,,,,JP,光と共にある「なおたろう」,「全ての人に光あれ！」,2,0,0,,,,,0,0,,
5772,,,1,,,,JP,鬼の紫「サムス」,,3,0,0,random,,,,0,0,,
2320,,,1,,,,JP,均衡の果て「ラグナ」,,4,0,0,,,rabbit,,1,1,noyel,兎
2590,,,1,,,,,Eloria was here!,,3,0,0,birch,,,,0,0,,
4852,,,1,,,,JP,"""TAKIO"" The Trapper",（全身が焼けた死体が転がっている。傍らに転がっているのは彼の仕事道具だろうか、どうやら道具の整備中に事故があったようだ。）,1,0,0,,,,184,0,0,,骨くず、Burnt Bone Meat
5167,,,1,,,,JP,ファイアボール大好き「Radian」,,6,0,2,,Element,,,0,0,,
5550,,,1,,,,JP,知恵のある兎「ふたよ」,,4,0,2,,,rabbit,,0,0,,兎
5635,,,1,,,,JP,食べ歩き「ケン」,「美味しい麻婆豆腐食べたい！あと蕎麦…かピッツァとパスタ！」,2,0,0,,,,,0,0,,
138,,,1,,,,,"""Grey"" The Runner","""Are you the next Grim Reaper?""",1,0,0,,,,scythe,0,0,,Scythe
699,,,1,,,,JP,「名もなき博徒」,「骰の目は神のつぶやき……フリダシとアガリの狭間で」,1,2,0,,,,map_treasure,1,1,manor,宝の地図（不可能なら地図）
826,,,1,,,,JP,季節のランタン,「それは光と闇を作り出す」,2,0,0,,,,,0,0,,
930,,,1,,,,JP,こぼれおちた「メモリア」,,5,2,0,,,,,0,0,,
958,,,1,,,,JP,星霜の魔女「ウィニ」,「星の光をランタンに灯し、星屑の想いと共に…」,2,0,0,,,,,0,0,,
2758,,,1,,,,JP,収穫の歌「アルフレート」,「厳しい客だぜ」,1,0,0,,,,lute,1,1,lumiest,楽器
4794,,,1,,,,JP,壊された死者「クルソスアンソス」,「何度数えても12枚...あの1枚が足りない...誰かが持って行ってしまったのか。もう一度数えなくては。」,1,0,0,,,,shield,1,1,graveyard,盾
5000,,,0,,,,,,,0,0,0,,,,,0,0,,
5132,,,1,,,,JP,兄を求めて彷徨う「チハヤ」,,5,2,0,,,,,0,0,,
5207,,,1,,,,,"""SeungKyun"" The OrigamiMaster",,6,0,2,,Luck,,,0,0,,
5261,,,1,,,,JP,最後の猟犬「サーロス」,「君達の歩みに幸運を」,2,0,0,,,,,1,1,yowyn,
5299,,,1,,,,JP,三角コーンを被る者「竹ダ」,「ご安全に！」,2,0,0,,,,,1,1,yowyn,
60,,,1,,,,JP,蒼褪めた「メイセン」,,6,0,2,,Luck,,,0,0,,
193,,,1,,,,JP,海の幸「えびとろ」,「ぴちぴちだよ」,2,0,0,,,,,0,0,,
633,,,1,,,,JP,統星の後星「マルジロウ」,,4,0,2,,,cat,,0,0,,猫
1745,,,1,,,,JP,追憶の書架「リズリー」,「この光が、貴方が忘れてしまった大切な思い出を照らし出しますように」,2,0,0,,,,,1,1,noyel,
2971,,,1,,,,JP,神のための下僕「遺伝子」,,6,0,1,,Element,,,0,0,,
3578,,,1,,,,,"""Enkidu"" The Son of God","""The stairs in this place are killer...""",1,5,0,,,,731,1,1,manor,"vomit,shit or vomit or urine"
